,a,a+,a-,t0,t0+,t0-,beta_v,beta_v+,beta_v-,z,z+,z-
1,0.8215360224379238,0.902044210813086,0.7410278340627616,0.34187061208522335,0.36490028289993137,0.3188409412705153,1.194411263131997,1.4537871844194705,0.9350353418445234,0.3603658670341458,0.45349727817792373,0.2672344558903679
3,0.7232207673481842,0.749526850285369,0.6969146844109994,0.37433559800523974,0.3806884971814634,0.3679826988290161,1.016045974862329,1.1148333584897043,0.9172585912349536,0.20911573384870322,0.2456444243631103,0.17258704333429614
4,0.7776033841709958,0.8099017553978813,0.7453050129441103,0.36519502347126676,0.37454520727475415,0.35584483966777936,1.086047931944038,1.1967520089809198,0.975343854907156,0.13053825394755514,0.17409541835837122,0.08698108953673905
6,0.67185308424558,0.7002930038738755,0.6434131646172845,0.38055719386149434,0.3893772806089226,0.37173710711406605,0.7207708332987722,0.8440945037752141,0.5974471628223303,0.1952876092286477,0.242377763347631,0.14819745510966442
7,0.7641209426291208,0.7913306042996853,0.7369112809585563,0.356468659529679,0.36582473170473445,0.3471125873546235,0.703691642836207,0.7983404934863437,0.6090427921860703,0.08868153602840324,0.12982487913464866,0.047538192922157836
8,0.7534106794781369,0.7816701746043618,0.725151184351912,0.3917550118704785,0.40161800687794913,0.3818920168630079,0.9675607190900749,1.0680811358932125,0.8670403022869373,0.055302297069071214,0.09544976464035894,0.01515482949778349
9,0.804072206567142,0.8375287489968903,0.7706156641373936,0.3702145229155319,0.38234837096351515,0.3580806748675487,1.1067980628837557,1.211801178658459,1.0017949471090524,0.06570379095772318,0.10763525558759807,0.02377232632784828
10,0.7894224243706749,0.8324325315284757,0.746412317212874,0.41847584997655934,0.4354861314252166,0.4014655685279021,1.1235503250999461,1.257112335544026,0.9899883146558663,0.03964753156612203,0.09126688380030032,-0.01197182066805625
11,0.7396815748850477,0.7776490401451682,0.7017141096249272,0.3888623024478115,0.4006301367399062,0.3770944681557168,1.1420703554471843,1.286188910122698,0.9979518007716707,0.18303408283919578,0.23336642123214046,0.1327017444462511
12,0.7328245989050844,0.7853410336383178,0.6803081641718511,0.39756372858812616,0.4153615714275058,0.37976588574874653,1.2437896611149393,1.430839815962372,1.0567395062675065,0.15176484816436045,0.22050082097258578,0.08302887535613512
13,0.7869630903009693,0.829086863021669,0.7448393175802697,0.31724585371687547,0.33516985386261205,0.2993218535711389,0.8545937539893821,0.991936444920924,0.7172510630578401,0.035826436622197665,0.09225915552588707,-0.02060628228149173
16,0.6234848263560343,0.6466820117317623,0.6002876409803063,0.3489044177062806,0.3546802819083862,0.34312855350417504,0.9765873670046502,1.0875341806038386,0.865640553405462,0.1614485067556496,0.19934323506640422,0.12355377844489494
18,0.6379238600995915,0.663657375720563,0.6121903444786199,0.341589502025395,0.3492967984397879,0.3338822056110021,0.9662353088078957,1.0824997351390238,0.8499708824767676,0.08947654468384744,0.12867267980929636,0.050280409558398506
19,0.833100875837139,0.8937305318191522,0.7724712198551258,0.369481257303381,0.38771983111421826,0.35124268349254373,1.169287645322696,1.344169411013262,0.9944058796321297,0.21292542204431142,0.28196813822290734,0.1438827058657155
21,0.7803951947374337,0.8213390271422639,0.7394513623326034,0.34021241488495674,0.3511027126967822,0.32932211707313125,1.2085223585946383,1.3450559699930786,1.071988747196198,0.2523173840316602,0.30376634489195253,0.20086842317136788
28,0.6718880219368738,0.6963721000981038,0.6474039437756438,0.30738325408741307,0.314034533409013,0.30073197476581315,1.2045350597460025,1.3104919512402797,1.0985781682517253,0.11491248183482809,0.15067398920691763,0.07915097446273855
29,0.6905176965007869,0.7667884594083229,0.6142469335932509,0.3464281220156054,0.37609385782875904,0.3167623862024518,1.2020564908753664,1.5077739523515934,0.8963390293991395,0.0478075443603321,0.15389488997416192,-0.058279801253497736
32,0.7042018807000331,0.7342217070111812,0.674182054388885,0.35507390680517287,0.36384639994001633,0.3463014136703294,1.4750977589539465,1.5880136948787416,1.3621818230291514,0.11645423858607752,0.15471127474841695,0.0781972024237381
33,0.7680266585375998,0.8090066551374432,0.7270466619377564,0.37576603189665386,0.3870407899219444,0.3644912738713633,1.542385245280962,1.6790225570918316,1.4057479334700926,0.1536848205844612,0.19948181912128804,0.10788782204763436
34,0.7732720961384888,0.8102090550022104,0.7363351372747672,0.37037602105793316,0.38273711183641157,0.35801493027945475,1.1912168739758004,1.309972316369458,1.0724614315821428,0.06460227338672617,0.10826537952373125,0.02093916724972108
35,0.8809034573081546,0.9282290425933978,0.8335778720229113,0.37736350757889275,0.3920993724703506,0.3626276426874349,1.4226690931431114,1.5429507089750323,1.3023874773111905,0.07998481394621224,0.12435694726107621,0.03561268063134826
36,0.7947277000159951,0.8334940157796223,0.7559613842523679,0.37529835401143324,0.3860620581733747,0.3645346498494918,1.3956702640230252,1.5168720596104213,1.274468468435629,-0.01843395674183796,0.023701991131956264,-0.060569904615632185
37,0.8389716840316964,0.8823250585613154,0.7956183095020775,0.3758122596157619,0.3912272398105099,0.36039727942101396,1.4862744114882773,1.6034363217949277,1.369112501181627,-0.009192181940803217,0.03322922051235752,-0.05161358439396395
38,0.8207308446638453,0.8736866715092981,0.7677750178183924,0.3850774647558219,0.4037171550322768,0.366437774479367,1.2993640449265478,1.4489707349192724,1.1497573549338231,0.03387091036142537,0.09125008016414672,-0.023508259441295976
39,0.8603940367732856,0.9073525303448854,0.8134355432016859,0.35322518833251426,0.36735513803328657,0.33909523863174196,1.606237734180137,1.7290465041067025,1.4834289642535716,0.0699401131224191,0.11135699861699098,0.028523227627847217
41,0.7558544682496621,0.7896985048578197,0.7220104316415045,0.3520449500993969,0.36139794019131066,0.34269196000748314,1.560510544815625,1.6740301776960373,1.4469909119352125,0.0047128894980289285,0.04042979356318711,-0.03100401456712925
42,0.7723597527847754,0.8099531248380099,0.734766380731541,0.3912311663960179,0.4042717622088339,0.37819057058320193,1.4330092645309658,1.5475753549619042,1.3184431741000273,0.006972089059694976,0.04646138988494344,-0.03251721176555348
43,0.8386458193304228,0.8844357449105976,0.792855893750248,0.3792573530439086,0.39148003274232496,0.3670346733454923,1.6873458771391767,1.82162932056386,1.5530624337144934,0.11156459692684802,0.15646659776811248,0.06666259608558356
44,0.8391514761591782,0.880261954970958,0.7980409973473983,0.36349706189474634,0.37801074572218174,0.34898337806731095,1.3946223852901694,1.5048255827943702,1.2844191877859685,0.03760253586288927,0.07844175874776177,-0.0032366870219832297
45,0.829499792406779,0.8740996684945501,0.7848999163190078,0.36414480965786067,0.3757240813684562,0.35256553794726514,1.8228860588419769,1.9552061705248978,1.690565947159056,0.16258361676125882,0.2043026642992094,0.12086456922330824
46,0.7995764558142651,0.8419476806896521,0.757205230938878,0.37524285496952586,0.38934583985170224,0.3611398700873495,1.6078924932436727,1.7272568621072397,1.4885281243801056,0.03536548980605971,0.07457526171961432,-0.0038442821074948924
47,0.7994656789225173,0.8516828452664346,0.7472485125786,0.38624295605038034,0.4025907641310692,0.3698951479696915,1.5667884769750982,1.7233298806471937,1.4102470733030026,0.124838386011838,0.17609140567407866,0.07358536634959732
49,0.7717671774121085,0.8099699220316335,0.7335644327925835,0.3513265390766549,0.36228134306015336,0.34037173509315644,1.5868166144937323,1.7071470803694653,1.4664861486179994,0.17067584015740342,0.20906580765790259,0.13228587265690425
50,0.767031967808721,0.8113192063597591,0.7227447292576828,0.36072724051540633,0.37377914434216347,0.3476753366886492,1.787888323824481,1.92478685488674,1.650989792762222,0.09226385750936425,0.13419748366966183,0.050330231349066674
51,0.8922329746650387,0.9629246748339197,0.8215412744961577,0.3529202855748831,0.37511255908311736,0.3307280120666488,1.719575357537044,1.8922581764691548,1.5468925386049333,0.12125363664879443,0.17911874361141455,0.06338852968617431
52,0.8376767216789369,0.8814348805859793,0.7939185627718945,0.3598969315689107,0.3714440482136481,0.34834981492417333,1.7010800543846087,1.8287630326082311,1.5733970761609863,0.07314843130495817,0.11540673922268307,0.030890123387233258
53,0.8894827345434897,0.9439094553433601,0.8350560137436193,0.35860864898451167,0.376913535181513,0.34030376278751034,1.5781838382686542,1.7154152929247861,1.4409523836125222,0.1647235244300519,0.21653671624576626,0.11291033261433753
54,0.8248861106906425,0.874967904464399,0.7748043169168861,0.35919995768008595,0.373440578014826,0.3449593373453459,1.6916582167355796,1.8357310627098151,1.547585370761344,0.18661855942549818,0.23496103592704945,0.1382760829239469
55,0.8481592865910884,0.8920893812446797,0.8042291919374971,0.36409959503167066,0.3761293291538578,0.3520698609094835,1.66373924197197,1.789279071443924,1.5381994125000162,0.17972044019178673,0.22199025006331308,0.1374506303202604
56,0.8771529712981152,0.9306857581298756,0.8236201844663548,0.36752358731518464,0.3832616162323253,0.351785558398044,1.643039218444409,1.8006169755059709,1.485461461382847,0.15103691275912517,0.19897795008180336,0.103095875436447
57,0.878424916196547,0.946253476566928,0.8105963558261658,0.37971393695774974,0.39875289186579904,0.36067498204970044,1.8692199697868033,2.03498232623472,1.7034576133388866,0.03068358692411464,0.07782591053275782,-0.016458736684528536
58,0.7557617084374385,0.7959080672594538,0.7156153496154232,0.3648127353973914,0.37677248143309694,0.35285298936168585,1.44984259249561,1.5817756302588666,1.3179095547323534,-0.052105940199822884,-0.009491902913668873,-0.0947199774859769
59,0.7799713112089817,0.8208213565595753,0.739121265858388,0.3804415963385068,0.393551633696257,0.36733155898075665,1.5150061831287065,1.6375169348959568,1.3924954313614561,0.0222120377258393,0.062272463388109905,-0.01784838793643131
60,0.8046205785156618,0.8550400854734896,0.754201071557834,0.37623806271854804,0.38881248478809577,0.3636636406490003,1.8618054963248778,2.0185817669749855,1.70502922567477,0.10299005490731974,0.14948694836626614,0.056493161448373366
61,0.7703795842674765,0.8093020240233826,0.7314571445115705,0.3561024588924912,0.36899435964651767,0.34321055813846474,1.3078264146226515,1.4338020350478966,1.1818507941974064,0.041525543212467306,0.08590592018402116,-0.0028548337590865377
62,0.7425380920309238,0.7824936284072405,0.7025825556546071,0.3807720622160395,0.39266960177693,0.368874522655149,1.365218991038348,1.5087760083900053,1.221661973686691,0.131500767732531,0.18035541460669535,0.08264612085836666
63,0.8053546485779285,0.8511433230485888,0.7595659741072682,0.35252970011397017,0.36487407714821035,0.34018532307973,1.7289498138145076,1.867126157885329,1.5907734697436862,0.10176601708631898,0.14452776602867268,0.0590042681439653
64,0.7182424963666959,0.7577899609815677,0.6786950317518241,0.4170301885882073,0.4300497087327928,0.40401066844362177,1.395286559560763,1.5466739411986519,1.2438991779228743,0.10183149965429623,0.1508760344862086,0.052786964822383875
65,0.7844295955187404,0.8290258005766306,0.7398333904608502,0.3854373452527075,0.3971144208674829,0.37376026963793213,1.7828547605911298,1.9263542513226026,1.639355269859657,0.12322497437028906,0.16620498252224397,0.08024496621833416
66,0.8151911916564908,0.8629419075767301,0.7674404757362515,0.36331031814390075,0.37489598733130747,0.351724648956494,1.799942662854833,1.9448702894636452,1.6550150362460208,0.11008785156875718,0.15339788084011996,0.0667778222973944
67,0.8792323369017915,0.9380204959595231,0.8204441778440599,0.3551700745334462,0.36622848805450964,0.3441116610123827,1.8994936527275417,2.070038387266653,1.7289489181884306,0.1525182004729603,0.20214920315634613,0.10288719778957447
68,0.8993404591253699,0.9799517198493806,0.8187291984013592,0.4096955990125903,0.42835681588315705,0.3910343821420235,1.9683264299682524,2.1736494375070414,1.763003422429463,0.13077013710311172,0.18861639964872934,0.0729238745574941
69,0.8681710128476523,0.9190672361706557,0.8172747895246489,0.3815889924136168,0.3913767435809672,0.37180124124626646,1.9531845101109335,2.1065568599771543,1.7998121602447126,0.19942219472820316,0.2439607591554312,0.15488363030097513
71,0.6595237260385499,0.6962687490668142,0.6227787030102856,0.3267827078903233,0.3371385233631773,0.31642689241746935,1.4278952193720738,1.5809479628009144,1.274842475943233,0.0636788071020229,0.1107702728465158,0.016587341357529976
72,0.8582672636512333,0.9156201975694015,0.8009143297330651,0.3436303652360477,0.3563543907345513,0.3309063397375441,1.6059306516993908,1.7766816344741707,1.4351796689246108,0.11904027932603932,0.175605533993206,0.062475024658872634
73,0.7841942602293939,0.8416263715587661,0.7267621489000217,0.3625441513421282,0.37706032675807044,0.34802797592618595,1.669572924472276,1.8578395841385926,1.4813062648059592,0.1367133695416436,0.19618940321599024,0.07723733586729695
74,0.8850581245040741,0.9605532385058688,0.8095630105022793,0.37251998116832297,0.3885750845038798,0.35646487783276615,1.700802731040393,1.9213833395636153,1.4802221225171708,0.15047369441565475,0.21977681432285834,0.08117057450845118
75,0.7961588398175937,0.8704693569268556,0.7218483227083319,0.37187380854563457,0.39215634169108293,0.3515912754001862,1.629927073605655,1.8961977516669999,1.3636563955443102,0.18866511258483631,0.2634698895790047,0.11386033559066794
78,0.7361808394666128,0.7763975213909206,0.6959641575423051,0.3342970030017823,0.34374886370500524,0.3248451422985593,1.4464443965203797,1.592949641577594,1.2999391514631653,0.005594642546745249,0.0532010088737373,-0.0420117237802468
79,0.8413341874880115,0.9008201667071262,0.7818482082688968,0.3806262978752087,0.39633685921028294,0.3649157365401344,1.8755388785324763,2.0456661485648375,1.705411608500115,0.16228260191131127,0.21504314254460077,0.10952206127802178
80,0.9186527266198529,0.981884049843534,0.8554214033961718,0.31366119547581583,0.32958898578126017,0.2977334051703715,1.7085484924488068,1.873460742342838,1.5436362425547756,0.1423230485697583,0.1967141473172474,0.08793194982226922
81,0.8215047392639957,0.9103766711368573,0.7326328073911341,0.42651947872136203,0.4498435421277585,0.40319541531496556,1.9363746583030375,2.201577040196787,1.671172276409288,0.2827967304368546,0.3616843169674663,0.20390914390624293
82,0.8809735701522449,0.957353701738089,0.8045934385664008,0.40853276744268135,0.431070908419964,0.3859946264653987,1.7948879080062232,1.999996682515289,1.5897791334971574,0.16478147012933023,0.2309121959977906,0.09865074426086987
83,0.8894678719709174,0.9420394417601545,0.8368963021816802,0.36551947768216936,0.37761998012839465,0.35341897523594407,1.670818859523668,1.8195390090423054,1.5220987100050305,0.16246308832213913,0.2115006434783173,0.11342553316596096
84,0.8305319126222225,0.9072910395726415,0.7537727856718035,0.3739483527533509,0.3926018327165227,0.35529487279017913,1.7420110885455227,1.9693567226818267,1.5146654544092186,0.11334533572570984,0.18366576293947107,0.04302490851194864
85,0.7410558777243479,0.793421766776872,0.6886899886718237,0.380446251330267,0.39266980334719626,0.36822269931333773,1.8651049396811699,2.0523960885896106,1.677813790772729,0.09417877122237094,0.14905448265551308,0.03930305978922878
86,0.7857442429675389,0.8433593670504804,0.7281291188845973,0.3826402960570045,0.3995900309426551,0.3656905611713539,1.7049836735706325,1.8796847911005001,1.530282556040765,0.03616729117636497,0.0901685502500818,-0.01783396789735186
87,0.7684409550525398,0.8308273626105989,0.7060545474944808,0.3574009897045973,0.37409619940389216,0.3407057800053025,1.8143754616157588,2.016802584229741,1.6119483390017768,0.008716832998006435,0.06690460124887582,-0.04947093525286294
88,0.8110028868980129,0.9055217968918743,0.7164839769041516,0.3947913001415496,0.42172436846606814,0.3678582318170311,1.8946040618017883,2.1555430402018176,1.6336650834017588,0.006333235419948436,0.07948261999071368,-0.06681614915081682
89,0.7640150720720682,0.8214702736425731,0.7065598705015633,0.36158945260298214,0.37733231727982475,0.34584658792613954,1.7408679981488622,1.929945954356864,1.5517900419408603,0.06390956642980179,0.12307144548432641,0.004747687375277178
90,0.7260356790290492,0.7729630273095544,0.679108330748544,0.36508570216576863,0.3800164842534195,0.35015492007811777,1.4842910524280142,1.6440217736844775,1.3245603311715508,0.01823944467720807,0.06912956241992813,-0.032650673065511976
91,0.7749750850456288,0.8410710794693979,0.7088790906218598,0.3653781080907004,0.3839442160174092,0.34681200016399166,1.809644933087612,2.0108631881383117,1.6084266780369127,-0.0052719122554881065,0.05331555543880492,-0.06385937994978114
92,0.7658519174794467,0.8191212129810207,0.7125826219778727,0.37043916416322725,0.3855646817412613,0.3553136465851932,1.7004995118214847,1.871141332692099,1.5298576909508705,-0.00501795013197691,0.04729960318717121,-0.05733550345112503
93,0.770694823165199,0.8303728907633964,0.7110167555670016,0.3626193106274549,0.3817695844629348,0.343469036791975,1.5242374777150038,1.7124516096556475,1.3360233457743602,0.029509770296722217,0.09146359325342461,-0.03244405265998017
94,0.7975974898478997,0.8581849484956717,0.7370100312001276,0.3822047718054548,0.39795144816765576,0.36645809544325386,1.8244343076393141,2.0145821206837717,1.6342864945948565,0.18205338434298446,0.24117372012357668,0.12293304856239222
95,0.8140596149138628,0.8743183692733366,0.753800860554389,0.3659919962718093,0.385412231643204,0.3465717609004146,1.5423643500963382,1.7111207723834778,1.3736079278091986,0.02331062888800983,0.07914441083466431,-0.03252315305864466
96,0.7315121203058631,0.8031713667593405,0.6598528738523857,0.3881249393606842,0.40989812986354196,0.36635174885782645,1.6970616242292689,1.9427570356274193,1.4513662128311184,0.19051475961377629,0.26717098997010175,0.11385852925745082
98,0.7094426575689,0.7579774394069302,0.6609078757308698,0.3393113882394176,0.35355892587564575,0.32506385060318943,1.5524569359940368,1.7253976348793765,1.379516237108697,0.08870065284892749,0.14234103937913758,0.035060266318717385
99,0.7688364436703332,0.8259731094596283,0.7116997778810381,0.3576115845026925,0.3749693094407394,0.34025385956464554,1.4833203515080886,1.662708074821016,1.3039326281951613,0.05721175862784385,0.11579275385333176,-0.001369236597644062
